symbol,roa,roe,mce,niev,aegr,afcf,inc,avrt,wacc,ytd,exp_rat,debt / assets,inc / earn
HSDT,-1.35,-2.46,0.11,-14.37,2.32,20.79,,-2.58,-2.58,-26.19,35.18,0.0,0.0
BLPH,-0.5,-1.11,0.48,-1.71,-171.09,-9.34,,-1.06,-1.06,-11.54,inf,0.0,
DFFN,-0.66,-0.76,16.7,-0.04,18.11,-8.18,,-1.04,-1.04,-11.36,inf,0.0,0.0
AEZS,-0.09,1.03,8.48,-0.02,-65.37,-18.83,['1990'],0.43,0.43,6.63,2.65,0.0,-0.0
NCNA,0.0,0.0,0.0,0.0,0.0,0.0,['1997'],0.0,0.0,10.0,0.0,0.0,0.0
ONTX,-0.9,-2.53,0.44,-0.8,-4.75,,['1998'],-2.16,-2.16,-22.06,73.99,0.0,0.0
XBIO,-0.55,-0.67,0.33,-0.94,4.03,13.68,,-0.88,-0.88,-9.94,5.95,0.0,0.0
MBRX,-0.48,-0.71,0.38,-0.53,11.4,-12.04,,-0.84,-0.84,-9.59,inf,0.0,0.0
NNDM,-0.34,-0.48,0.48,-0.31,249.5,-15.7,,-0.58,-0.58,-7.52,8.9,0.0,-0.0
ACTG,-0.04,0.02,0.46,0.78,-261.78,-424.64,['1993'],-0.03,-0.03,-33.63,0.83,0.0,0.53
ZYNE,-0.53,-0.63,0.3,-1.74,3.68,0.62,,-0.84,-0.84,-9.59,inf,0.0,0.0
MYSZ,-1.32,-2.57,0.38,-2.57,24.99,-19.79,['1999'],-2.6,-2.6,-26.38,81.74,0.0,-0.0
JVA,0.01,0.02,0.42,0.1,-513.49,-179.16,1971,0.02,0.02,50.2,0.96,0.0,0.03
WSTL,-0.12,-0.14,0.52,0.28,-108.61,-3646.92,['1980'],-0.19,,,0.99,,0.0
OPTT,-0.46,-0.56,0.54,-0.51,18.33,-13.3,['1984'],-0.74,,,13.29,,0.0
EKSO,-0.76,-3.88,0.44,-0.59,-20.97,33.01,,-2.7,-2.56,-25.97,2.23,0.04,-0.01
IMRN,-0.36,-0.4,0.5,-0.25,27.78,-12.12,['1994'],-0.56,-0.56,-7.39,5.07,0.0,-0.0
FLXS,-0.04,-0.04,0.79,0.02,-98.5,-431.2,['1893'],-0.06,-0.05,-17.17,0.99,0.14,0.14
MOMO,0.05,0.09,0.11,-2.58,-87.4,46.19,,0.1,0.07,10.7,0.86,0.25,0.04
YTRA,-0.12,-0.65,0.2,-2.73,-15.2,59.76,,-0.44,-0.38,-6.07,1.26,0.0,-0.1
AYTU,-0.47,-1.7,0.14,-17.14,122.38,,,-1.32,-1.01,-10.86,1.37,0.1,-0.0
APWC,-0.0,-0.0,0.13,-0.14,52.24,199.11,['1996'],-0.0,0.01,-inf,1.01,0.01,-0.25
GNCA,-0.67,-2.97,0.02,-57.79,9.41,-4.84,,-2.16,-1.84,-18.86,33.41,0.07,-0.02
GURE,-0.09,-0.09,0.13,-0.02,-73.17,172.75,,-0.14,-0.14,-8.54,0.83,0.0,0.01
HLG,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
FANH,0.09,0.15,0.14,1.0,-11.16,154.17,['1998'],0.16,0.16,7.85,0.91,0.0,0.0
OXBRW,-0.19,-0.29,0.05,-32.86,0.0,600.85,,-0.34,-0.34,-6.34,0.0,0.0,0.0
EMMS,0.17,0.53,0.34,1.24,190.22,-418.17,['1980'],0.44,0.32,5.47,1.33,0.21,-0.29
GLG,0.43,0.37,0.9,-0.01,0.0,48.23,,0.62,,,0.0,,-0.26
NVFY,-0.32,-0.39,0.15,-5.53,0.0,-302.0,,-0.52,-0.52,-7.12,0.0,0.01,-0.0
BIDU,0.05,0.09,0.16,0.3,281.81,48.63,,0.1,0.08,10.8,0.91,0.18,0.32
FAMI,0.04,0.05,0.98,0.02,0.0,131.44,,0.06,0.06,17.27,0.0,0.0,0.03
ADXS,-0.63,-1.13,7.12,-0.06,-16.07,,,-1.19,-1.19,-12.74,6.77,0.0,0.0
CLRO,-0.14,-0.16,0.27,-0.54,-593.06,84.84,['1983'],-0.22,-0.2,-6.55,1.23,0.02,-0.08
OMAB,0.14,0.26,0.31,0.84,35.99,47.14,['1998'],0.27,0.21,5.8,0.53,0.22,0.13
CJJD,-0.04,-0.2,2.81,-0.05,168.86,442.67,,-0.14,,,1.02,,-0.1
CETX,0.0,0.0,0.0,0.0,0.0,0.0,['1998'],0.0,0.0,10.0,0.0,0.0,0.0
GLBS,-0.2,-1.02,0.19,0.54,226.85,766.4,,-0.71,-0.59,-7.31,0.59,0.14,0.13
XNET,-0.06,-0.08,0.35,0.01,-49.07,-150.69,,-0.1,-0.09,-10.9,1.01,0.04,-0.04
ADVM,-0.3,-0.37,0.23,-2.04,31.62,-23.58,,-0.48,,,20.34,,0.0
CREG,-0.13,-0.23,0.16,-0.62,-211.6,,['1980'],-0.24,,,inf,,-3.84
LMFA,-0.18,-0.35,0.17,0.47,117.72,-100.8,,-0.36,,,11.62,,0.0
CLSN,-0.39,-0.81,3.04,-0.12,21.99,-12.93,,-0.8,-0.72,-8.45,43.01,0.08,-0.03
INPX,-1.14,-3.07,4.37,-0.19,53.64,19.04,,-2.68,,,4.13,,
CLBS,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
WWR,-0.52,-0.72,0.31,-0.41,7.07,-17.09,['1977'],-0.88,-0.88,-9.94,inf,0.0,0.0
CYCCP,-0.39,-0.48,0.46,-1.1,0.0,-22.57,,-0.63,-0.63,-7.89,0.0,0.0,0.0
APTX,-0.47,-0.51,0.23,-3.51,14.85,,,-0.72,-0.63,-7.69,75.53,0.12,0.0
ZKIN,0.04,0.08,0.18,-0.24,0.0,-464.08,,0.08,,,0.0,,-0.33
MDGS,0.0,0.0,0.0,0.0,0.0,0.0,['1999'],0.0,0.0,10.0,0.0,0.0,0.0
PFIN,0.01,0.01,0.39,0.13,42.2,-191.77,['1959'],0.02,,,1.05,,-0.03
AGTC,-0.49,-0.92,0.55,-4.28,744.32,-28.52,['1999'],-0.95,-0.66,-7.65,204.62,0.14,-0.04
ASTC,-0.93,-4.09,0.37,-0.42,3.79,6.16,['1984'],-2.98,,,10.89,,-0.01
ACMR,0.06,0.13,0.26,0.21,95.95,-44.78,['1998'],0.12,0.12,9.53,0.85,0.02,0.02
ASLN,-1.04,6.91,0.58,-0.94,13.09,22.96,,2.42,1.59,16.31,inf,0.33,-0.05
LBTYB,0.13,0.35,0.42,1.24,0.0,28.41,,0.3,0.21,5.43,0.0,0.3,0.66
BLCM,-0.54,1.39,0.38,-1.05,-17.57,60.66,,0.15,,,4.93,,-0.0
FIXX,-0.37,-0.48,0.64,-0.88,28.41,-12.5,,-0.61,-0.61,-7.74,3.82,0.0,0.0
CRVS,-0.36,-0.4,0.44,-1.02,177.85,4.26,,-0.56,-0.56,-7.39,inf,0.0,0.0
FWP,-0.07,-0.07,0.29,-0.09,-23.16,214.68,,-0.11,-0.11,-10.19,inf,0.0,-0.05
COCP,-0.69,-0.74,3.68,-0.05,-11.58,94.27,,-1.06,-1.06,-11.54,inf,0.0,-0.0
ONVO,-0.52,-0.56,0.45,-0.85,-23.93,33.35,,-0.8,-0.8,-9.25,8.65,0.0,0.0
ALNA,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
MTRX,-0.06,-0.1,0.62,-0.46,-39.71,-183.51,['1984'],-0.11,-0.09,-9.99,1.1,0.03,-0.04
AUTL,-0.37,-0.47,0.53,-0.86,42.91,-19.62,,-0.6,-0.6,-7.67,71.53,0.0,-0.01
DSWL,0.04,0.06,0.56,0.16,-284.81,2.34,['1987'],0.07,0.07,14.99,0.96,0.0,0.0
CSTE,0.02,0.03,0.46,0.08,23.86,-118.05,['1987'],0.04,0.05,25.5,0.95,0.01,0.22
OPGN,-0.93,-2.26,0.21,-4.08,45.5,-17.81,,-2.06,-1.66,-17.09,6.37,0.1,-0.21
XBIT,0.06,0.07,0.38,-0.17,-1103.22,-95.83,,0.1,0.1,11.0,2.36,0.0,0.0
CDTI,-0.5,-5.98,0.77,-0.6,5.69,,['1996'],-3.49,,,1.3,,
LMB,0.01,0.03,1.09,0.07,-138.44,-353.35,['1901'],0.02,0.03,50.3,0.97,0.1,0.18
NICK,0.01,0.02,0.39,0.07,-39.39,180.82,['1985'],0.02,0.01,50.1,0.89,0.32,0.0
BIOC,-1.16,-2.79,0.37,-0.2,-37.0,-355.12,['1997'],-2.55,-2.55,-25.89,1.04,0.0,-0.12
CWBR,-0.74,-0.99,6.08,-0.1,0.96,-8.22,,-1.23,,,inf,,-0.0
EVOL,-0.12,-0.33,0.46,1.0,824.0,60.58,['1985'],-0.29,,,inf,,-0.0
ADES,0.15,0.26,0.36,1.14,-184.8,12.99,['1996'],0.28,,,0.98,,0.69
BZUN,0.03,0.06,0.06,-0.7,-31.96,-117.31,,0.06,,,1.0,,-1.66
EVK,0.02,0.03,0.07,-0.01,-11.32,-78.11,,0.04,0.04,25.4,1.0,0.0,-4.44
NEPT,-0.5,-0.85,3.13,-0.5,75.23,-27.73,['1998'],-0.92,-0.7,-8.09,2.43,0.11,-0.03
GASS,-0.01,-0.02,0.25,-0.3,-12.52,56.39,,-0.02,0.0,-50.0,0.91,0.33,0.85
AAOI,-0.1,-0.17,0.23,-0.93,986.31,71.81,['1997'],-0.18,-0.12,-6.76,1.27,0.18,-0.1
ERIC,0.03,0.09,0.19,1.1,194.07,-45.74,['1876'],0.08,0.07,13.2,0.86,0.07,0.03
CAAS,0.01,0.02,0.47,0.07,-50.93,77.2,['1999'],0.02,,,0.99,,0.24
XELB,-0.05,-0.08,0.22,-0.76,-47.71,-6.18,,-0.09,-0.05,-11.61,1.29,0.2,-0.18
EMITF,-0.19,4.02,0.18,-1.6,-167.33,131.66,['1996'],1.82,,,inf,,
NWLI,0.01,0.06,0.3,0.24,26.2,8.27,['1956'],0.04,0.04,25.4,0.72,0.0,0.0
ANY,-0.85,1.51,0.1,-0.8,50.17,-37.73,,-0.09,,,6.08,,-0.03
MOGO,-0.11,-1.58,0.17,-0.72,40.12,-91.99,,-0.9,-0.68,-7.91,2.1,0.22,0.0
EHTH,0.01,0.01,0.12,-1.21,9097.41,-51.01,['1997'],0.02,,,1.15,,0.0
KTCC,0.0,0.01,0.42,0.06,-63.53,30.73,['1969'],0.0,0.02,inf,0.98,0.25,0.58
HTGM,-0.49,-1.17,0.4,-4.12,2.53,-5.58,['1997'],-1.08,-0.52,-6.13,3.17,0.3,-0.06
ABEO,-0.57,-0.83,11.53,-0.14,15.29,4.06,['1974'],-0.98,,,20.12,,-0.06
OXLCO,-0.05,-0.15,0.41,0.32,0.0,1049.65,,-0.12,-0.07,-9.03,0.0,0.29,0.16
FLNT,-0.02,-0.03,0.48,-0.1,-290.79,26.25,,-0.04,-0.03,-25.3,0.99,0.13,1.08
AQB,-0.26,-0.31,0.23,-0.45,29.17,-17.92,['1991'],-0.42,-0.4,-6.38,19.83,0.04,-0.01
OXLCM,-0.05,-0.13,0.48,0.28,0.0,1049.65,,-0.12,-0.07,-9.03,0.0,0.29,0.16
CONN,0.03,0.09,0.42,0.42,-1226.36,180.9,['1890'],0.08,0.04,12.9,0.91,0.29,0.0
GIFI,-0.14,-0.21,0.83,-0.26,26.25,23.17,['1947'],-0.24,,,1.1,,-0.04
GEOS,-0.07,-0.08,0.42,-0.24,4317.75,-209.69,['1980'],-0.11,-0.11,-10.19,1.21,0.0,
AUTO,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
CRBP,-1.04,-4.19,0.2,-3.23,8.36,7.61,,-3.14,-2.53,-25.62,64.5,0.15,-0.05
ASMB,-0.38,-0.45,0.38,-2.02,26.72,-7.67,,-0.6,-0.6,-7.67,15.77,0.0,0.0
KELYB,0.02,0.04,0.51,0.23,0.0,7.6,['1946'],0.04,0.04,25.4,0.0,0.0,0.05
KELYA,0.02,0.04,0.49,0.24,-30.01,7.6,['1946'],0.04,0.04,25.4,0.99,0.0,0.05
MTBC,-0.03,-0.03,0.46,0.06,239.75,-130.31,['1999'],-0.04,-0.03,-25.3,0.98,0.06,0.14
YY,0.07,0.1,0.38,-0.04,-1.19,294.92,,0.12,0.1,9.33,1.04,0.1,-0.17
CNET,-0.31,-0.61,1.22,-0.1,58.48,19292.95,,-0.62,,,1.29,0.0,
ASPU,-0.13,-0.23,0.24,-0.93,12.46,2.32,['1987'],-0.24,-0.17,-5.87,1.12,0.16,-0.08
CEMI,-0.32,-0.68,0.24,-4.15,64.44,-23.23,['1985'],-0.66,-0.38,-5.32,1.5,0.24,-0.12
ASRV,0.01,0.06,0.59,0.1,2.56,-41.81,,0.04,0.03,25.3,0.82,0.03,0.0
OPRA,0.05,0.06,0.61,-0.07,49.87,-20.35,['1995'],0.08,0.08,13.3,1.0,0.0,-0.54
CASI,-0.33,-0.48,3.14,-0.14,16.12,-3.83,['1991'],-0.57,-0.57,-7.45,2.17,0.0,-0.0
BLUE,-0.61,-0.89,1.26,-1.74,17.63,-7.37,['1992'],-1.06,-1.06,-11.54,154.22,0.0,
IFRX,-0.34,-0.39,1.06,-0.41,25.57,-12.58,,-0.54,-0.54,-7.25,inf,0.0,-0.0
BWEN,-0.07,-0.16,0.6,0.09,-146.62,-89.82,,-0.15,-0.13,-7.97,1.09,0.0,-0.09
DWSN,-0.2,-0.24,0.73,-0.63,23.18,-142.57,['1952'],-0.32,,,2.18,,-0.0
MBIO,-0.61,-0.74,0.42,-1.42,30.42,-22.57,,-0.98,,,inf,,-0.0
APEI,0.04,0.05,0.61,0.07,7.11,262.86,['1991'],0.06,0.05,17.17,0.91,0.21,0.11
NYMT,-0.0,0.04,0.57,0.19,-121.39,-39.9,,0.02,0.01,50.1,0.36,0.54,0.0
EZPW,-0.0,-0.01,0.81,0.02,-1000.03,59.9,['1989'],-0.0,0.02,-inf,0.96,0.21,0.69
NYMTN,-0.0,0.04,0.58,0.18,0.0,-39.9,,0.02,0.01,50.1,0.0,0.54,0.0
CMTL,-0.02,-0.04,0.64,-0.11,-424.57,23.79,['1967'],-0.04,-0.02,-25.2,1.07,0.13,-0.15
FNHC,-0.03,-0.54,0.01,-173.8,-2630.69,-66.9,['1991'],-0.3,-0.05,-3.83,1.38,0.08,-0.09
BBGI,0.0,-0.0,0.12,-0.05,-72.21,-148.97,['1961'],0.0,0.03,inf,0.95,0.39,2.11
GDS,-0.02,-0.05,0.11,-0.46,47.45,-18.44,,-0.04,-0.0,-25.0,0.93,0.28,2.91
BHF,-0.0,-0.01,0.26,-0.03,-77.33,64.13,,-0.0,-0.01,-inf,1.01,0.01,-3.43
MESA,0.02,0.07,0.1,0.36,-12.93,-50.24,['1982'],0.06,0.06,17.27,1.1,0.37,-0.67
HALL,-0.01,-0.12,0.07,0.69,4926.86,-217.3,['1987'],-0.07,-0.03,-14.59,0.96,0.07,0.3
CNFR,-0.02,-0.1,0.34,-0.08,-135.57,60.97,,-0.07,-0.0,-14.29,1.1,0.12,-0.27
BILI,-0.1,-0.25,0.24,-1.3,122.74,-269.53,,-0.22,-0.12,-5.75,1.33,0.34,-0.02
NBEV,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
JD,0.04,0.09,0.41,-0.04,-130.24,-34.63,,0.08,0.08,13.3,1.0,0.02,0.36
AAME,0.01,0.03,0.41,0.07,-1120.86,115.5,['1937'],0.02,0.02,50.2,0.97,0.08,0.21
AGFS,-0.04,-0.12,0.63,-0.04,-3.8,-63.75,['1994'],-0.1,-0.01,-10.1,0.92,0.35,1.66
AMBC,-0.01,-0.11,0.66,-0.02,-69.97,169.15,['1991'],-0.06,0.01,-16.57,0.42,0.52,1.46
DXYN,-0.01,-0.07,0.24,0.1,-149.75,-95.45,['1920'],-0.05,0.01,-19.9,0.97,0.26,0.55
NNBR,-0.1,-0.3,0.37,-0.16,-17.96,184.03,['1980'],-0.25,-0.11,-5.1,1.02,0.26,-1.82
GBLI,0.0,0.0,0.51,0.08,-197.75,-11.66,,0.0,0.01,inf,0.93,0.06,0.22
GLRE,-0.06,-0.17,0.57,0.06,19.61,-1258.62,,-0.15,-0.09,-7.57,0.93,0.07,0.51
CMLS,0.11,0.49,0.34,0.12,-139.45,68.98,,0.36,0.18,4.58,0.93,0.47,1.03
CPLP,-0.02,-0.01,0.54,0.35,-16491.04,-34.87,,-0.02,0.0,-50.0,0.61,0.64,0.23
CPTAL,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
WLFC,0.02,0.09,0.76,0.01,-32.08,-42.46,['1985'],0.06,0.04,17.07,0.72,0.73,0.93
ESGRP,0.03,0.13,0.53,0.15,0.0,-57.34,['1993'],0.1,0.09,10.9,0.0,0.06,0.17
JG,-0.18,-0.42,0.47,-1.38,44.43,-79.26,,-0.39,,,1.39,,-0.06
KINS,-0.01,-0.03,0.13,-0.77,-422.65,-161.32,['1886'],-0.02,-0.0,-50.0,1.05,0.09,-0.24
QBAK,0.01,0.02,0.64,-0.0,-40.39,115.6,,0.02,0.02,50.2,0.99,0.0,0.0
PKOH,0.01,0.05,0.59,-0.13,103.82,-87.27,['1907'],0.04,0.03,25.3,0.99,0.43,2.53
ZEAL,-0.21,-0.43,0.82,-1.34,-43.31,-24.58,['1998'],-0.42,-0.24,-4.78,4.59,0.31,-0.0
IQ,-0.18,-0.88,0.43,-2.78,-10.19,-64.43,,-0.62,-0.1,-2.61,1.14,0.31,-0.33
SRTS,-0.06,-0.07,0.0,0.0,41.97,194.46,,-0.1,,,0.85,,0.0
IDRA,-0.46,2.17,0.66,5.02,-31.11,,['1989'],0.62,0.62,7.81,inf,0.0,-0.0
DTEA,-0.05,0.39,0.41,3.95,-55.79,-118.31,,0.15,0.15,8.17,1.04,0.0,-0.03
DGLY,-0.51,3.22,0.34,1.36,-393.17,149.49,,1.1,1.09,11.81,1.69,0.01,-0.0
AGIO,-0.03,-0.18,1.22,1.02,-197.24,-6.43,,-0.12,-0.12,-9.53,inf,0.0,0.0
QURE,-0.14,-0.2,1.72,0.32,-104.62,-67.98,['1998'],-0.24,-0.19,-6.07,0.41,0.12,0.02
IVAC,0.05,0.07,1.05,0.19,781.63,-518.83,['1990'],0.08,0.08,13.3,1.55,0.0,0.0
GROW,0.05,0.06,0.76,0.13,-275.63,-80.32,['1968'],0.08,0.08,13.3,0.55,0.0,0.0
OSTK,-0.08,-0.49,1.43,0.37,136.15,31.76,1997,-0.32,-0.3,-6.12,0.96,0.04,0.01
CHCI,0.08,0.5,1.93,0.38,188.81,48.22,['1985'],0.33,0.24,5.43,0.84,0.13,0.05
AVNW,0.12,0.21,1.76,0.06,14192.5,406.92,,0.22,0.22,6.75,0.9,0.0,
IRWD,-0.03,0.94,3.12,0.28,227.94,-749.52,['1998'],0.44,0.27,4.97,0.44,0.3,0.13
OXBR,-0.0,-0.06,0.64,0.8,-5802.77,507.51,,-0.03,-0.03,-33.63,0.15,0.01,0.0
CODX,-1.5,0.82,0.72,0.38,-266.85,-59.9,,-1.09,-1.09,-11.82,0.53,0.0,
FLGT,0.15,0.17,0.96,0.46,-17399.83,-118.77,,0.24,0.24,6.57,0.31,0.0,0.0
HIMX,0.08,0.15,1.35,0.37,40.61,-64.92,,0.16,0.15,7.75,0.65,0.03,0.0
SCKT,-0.01,-0.02,0.69,0.32,-543.47,-20.13,['1992'],-0.02,-0.02,-50.2,0.88,0.0,0.07
NTES,0.11,0.2,0.47,0.37,80.58,-20.13,['1997'],0.21,,,0.81,0.01,
CSQ,0.11,0.16,0.75,0.46,196.75,7.72,,0.19,0.14,6.66,0.55,0.28,0.49
DJCO,0.06,0.08,1.52,0.29,723.45,-103.63,['1987'],0.1,0.08,10.8,0.92,0.09,0.08
WIRE,0.15,0.17,2.19,0.18,205.67,-131.21,['1989'],0.24,0.24,6.57,0.73,0.0,0.0
SCVL,0.09,0.17,1.57,0.22,272.78,-7.83,['1978'],0.18,0.18,7.36,0.84,0.0,0.0
CGO,0.08,0.12,0.58,0.52,-10.64,-55.3,,0.14,0.1,8.14,0.88,0.31,2.62
ITIC,0.14,0.19,1.23,0.24,46.34,-17.71,['1972'],0.24,0.24,6.57,0.75,0.0,0.0
INVA,0.36,1.03,2.23,0.29,0.32,,['1996'],0.88,0.47,5.84,0.03,0.43,0.05
TURN,0.07,0.07,0.52,0.25,776.17,814.91,['1981'],0.11,0.11,10.19,2.44,0.0,0.0
SMED,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
SENEB,0.06,0.11,0.97,0.09,297.35,-209.95,['1949'],0.12,0.11,9.43,0.94,0.12,0.07
SENEA,0.06,0.11,0.97,0.09,297.35,-209.95,['1949'],0.12,0.11,9.43,0.94,0.12,0.07
RGNX,-0.01,-0.04,1.21,0.14,-130.76,-96.34,,-0.03,-0.03,-33.63,0.66,0.0,0.16
CHY,0.1,0.16,0.71,0.37,192.01,-91.89,,0.18,0.13,6.86,-28.37,0.32,-0.47
CHI,0.1,0.15,0.74,0.35,191.79,-162.67,,0.18,0.13,6.86,16.6,0.32,-0.52
FUND,0.07,0.07,0.87,0.22,-13.51,0.0,['1988'],0.11,0.11,10.19,0.4,0.0,0.0
STLD,0.14,0.28,3.15,0.16,139.64,-213.53,['1993'],0.28,0.19,5.47,0.77,0.24,0.01
SBLK,0.05,0.09,0.97,0.34,2219.15,-161.8,,0.1,0.09,10.9,0.48,0.25,0.07
SCHN,0.06,0.11,0.94,0.19,-1396.17,-13.72,['1906'],0.12,0.1,9.33,0.94,0.13,0.04
REGN,0.22,0.3,4.22,0.1,60.82,-26.3,['1988'],0.37,0.34,6.1,0.44,0.08,0.01
TROW,0.23,0.31,3.07,0.11,19.08,-19.83,['1937'],0.38,0.38,6.43,0.51,0.0,0.0
TGA,-0.04,-0.07,1.51,0.15,519.92,53.29,['1968'],-0.08,-0.07,-13.2,0.62,0.01,0.02
UFPI,0.11,0.18,2.48,0.11,58.44,-38.93,['1955'],0.2,0.18,6.8,0.92,0.09,0.02
SEIC,0.23,0.29,4.56,0.06,3.51,-0.46,['1968'],0.38,0.37,6.33,0.71,0.02,0.0
SWKS,0.18,0.23,2.89,0.1,24.09,-7.58,['1962'],0.3,0.21,5.43,0.67,0.26,0.01
ACHN,-1.61,1.82,-124.89,-0.01,-12.78,5.81,,-0.7,,,5.84,,0.0
ORLY,0.16,-3.21,-861.33,0.04,18.18,-18.48,['1957'],-1.44,0.06,-0.09,0.78,0.33,0.05
GSHD,-0.03,-0.41,-103.51,0.0,-7.18,-23.05,,-0.24,0.05,-3.67,0.95,0.44,0.38
MTCH,0.06,-0.28,-63.15,0.02,-6.92,5.33,['1986'],-0.08,0.04,-12.1,0.71,0.76,0.15
PI,-0.19,0.9,-256.53,-0.02,29.95,-301.08,,0.26,-0.0,3.85,1.19,0.88,-0.07
NYMX,-3.78,3.49,-55.27,-0.45,6.74,-6.12,['1989'],-2.03,-2.03,-20.79,inf,0.0,-0.0
PBPB,-0.11,-0.38,-69.83,-0.15,93.06,32.4,['1977'],-0.3,0.11,-2.23,1.05,0.07,-0.06
LION,-0.0,0.12,-54.97,-0.0,0.0,0.0,,0.06,0.06,17.27,0.0,0.0,0.0
CAR,0.01,-0.14,-57.49,0.1,-177.11,54.71,['1946'],-0.06,0.12,-15.47,0.74,0.18,0.22
LFAC,-0.0,0.03,0.0,0.0,0.0,0.0,,0.02,0.02,50.2,0.0,0.0,0.0
AHPA,-0.0,0.07,-23.31,-0.0,0.0,0.0,,0.04,0.04,25.4,0.0,0.0,0.0
PBYI,-0.28,3.59,-72.04,-0.17,-35.18,,,1.52,0.09,1.56,0.92,0.43,0.6
WYNN,-0.04,2.44,-39.6,-0.09,-640.95,98.18,,1.18,0.03,1.15,1.1,0.95,-1.65
MPAC,-0.01,0.38,-31.75,-0.01,0.0,0.0,,0.18,0.18,7.36,0.0,0.0,0.0
ADRA,0.0,-0.71,-33.01,0.02,-24785.79,182.25,,-0.36,-0.36,-6.38,inf,0.0,0.0
DBX,-0.08,-0.67,-29.03,0.04,22.06,-19.45,,-0.42,0.13,-1.08,0.86,0.44,0.04
AVHI,0.03,-0.61,-26.02,0.02,0.0,0.0,,-0.28,-0.28,-6.37,0.0,0.0,0.0
DAVE,-0.07,-0.23,0.0,0.0,-398.31,-1305.51,,-0.18,-0.06,-6.16,1.29,0.24,-0.06
DWIN,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
BHAC,0.06,-1.14,-22.27,0.05,0.0,0.0,,-0.51,-0.51,-7.06,0.0,0.0,0.0
ARRY,-0.01,-0.03,-40.25,-0.02,-100.7,-189.46,['1989'],-0.02,0.03,-49.7,1.03,0.62,-1.61
ACER,-0.95,1.02,-9.38,-0.95,-5.6,2968.3,['1991'],-0.44,,,13.66,,-0.0
COOL,-0.0,0.0,-18.26,0.01,-181.87,315.56,,0.0,0.0,inf,inf,0.0,0.0
